category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2020 - 2021 (%) ,2000 - 2021 (%/year) 
World,20297.461,20449.80754,20374.89934,20491.02637,20592.48249,21056.84953,21515.96304,21890.89337,22040.76355,22180.75146,22826.58424,23191.39069,23521.00809,24575.10304,25725.90217,26631.03727,27471.88384,28386.5612,28568.6344,28247.90981,29899.81222,30742.17858,31193.76667,31758.22679,31810.303,31698.08872,31686.79296,32214.32702,32727.45383,32738.45905,31265.84566,32968.78928,5.446657819,1.766058859
OECD,11216.0647,11242.43159,11284.46332,11384.40992,11572.91802,11725.81181,12108.97208,12374.46734,12378.55993,12461.13798,12775.08463,12806.26887,12721.01558,12944.59155,13073.32308,13108.08478,13037.93981,13188.01199,12855.65369,12115.26025,12618.93244,12397.55683,12264.14513,12289.06095,12093.6555,11992.17819,11937.02476,11929.00689,11909.75777,11593.62466,10518.90611,11055.00325,5.096510357,-0.686270775
G7,8628.773922,8596.567116,8628.913426,8694.649335,8808.173439,8902.82966,9156.267683,9374.916322,9407.200102,9456.038369,9662.132493,9655.996256,9530.237211,9654.150645,9718.390167,9724.112954,9585.965488,9677.074317,9385.225452,8748.619877,9121.610081,8887.373721,8769.462431,8868.224624,8743.069355,8562.572776,8441.542858,8342.331879,8378.910632,8162.469003,7363.368578,7770.829535,5.533621636,-1.031959611
BRICS,5441.813867,5600.752038,5548.745567,5592.99228,5553.185773,5775.81391,5806.984557,5813.929802,5939.381388,5943.487909,6161.918155,6358.948328,6652.855098,7314.477371,8130.417997,8803.523726,9520.424252,10099.74626,10440.09023,10939.95841,11787.85503,12637.36675,13078.90537,13536.083,13708.80606,13637.94022,13592.60375,13964.6709,14376.07831,14540.09069,14376.07539,15340.65439,6.709612818,4.439127787
Europe,4417.631039,4395.059863,4260.83193,4182.78284,4137.792783,4196.649091,4342.600905,4269.304266,4274.731443,4204.896123,4246.242985,4306.240976,4301.884833,4423.072835,4434.853718,4419.625021,4469.008248,4430.133576,4343.805582,4040.919722,4174.622121,4064.290365,4043.207014,3944.684793,3776.221101,3832.84329,3848.444361,3900.722243,3819.596322,3658.528005,3338.231177,3575.089757,7.095331844,-0.815911822
European Union,3557.569424,3539.920675,3413.384471,3352.956252,3330.537898,3378.73096,3477.815851,3411.926992,3404.485226,3351.248902,3357.195008,3417.750469,3415.458466,3499.053296,3502.595484,3485.923779,3503.067928,3453.730448,3381.654445,3131.574725,3235.590103,3140.747503,3093.792941,3017.810349,2882.123851,2930.92546,2944.805425,2969.927608,2901.141283,2762.600437,2499.189363,2656.912715,6.310980458,-1.107822663
Belgium,105.9047444,110.3459446,109.068261,107.4855361,112.8696487,113.9487292,119.6110839,115.9946674,118.7681344,114.6370498,116.6069623,116.7288504,111.2746339,114.8342468,114.0503345,112.0065389,110.2232822,106.5214138,108.7790822,99.54237363,109.0001757,99.16777317,98.5411133,99.922399,92.81850231,97.14184863,95.72515536,95.00665292,95.73732753,94.99482303,87.31414876,92.8501754,6.340354593,-1.079002297
Czechia,150.2441213,138.5736332,133.8442471,132.4474842,126.5256714,127.0946678,129.8711324,124.8972947,119.8456478,112.1491232,121.9186442,121.7803305,118.6632829,121.5852683,123.43571,120.8789611,121.7892513,123.0825806,117.879925,109.8125249,113.5730995,110.1735655,106.6512087,102.5228164,99.89395932,100.7635259,102.1525922,103.8176203,102.5774727,97.5867768,88.66362006,93.00103211,4.891986193,-1.28097891
France,359.2090051,387.5201497,376.2641236,357.1259615,351.2532667,360.8326002,374.6975528,366.2448502,388.92833,385.2296504,383.6074712,386.0344993,377.7511613,383.9258355,384.94501,387.7477573,378.6630289,369.9045532,363.1502827,346.8114632,351.7363433,339.4539345,344.5763807,344.5580783,312.7469995,317.9394227,319.554661,326.2659843,316.7301977,308.85476,273.5859839,300.8908791,9.98037062,-1.149871892
Germany,963.6553035,946.8974598,899.5725149,889.2016987,873.4511477,872.6567521,898.6876058,869.722515,861.0530661,830.6007098,826.7250491,849.5467067,835.8508876,833.2338947,818.6728446,800.7962459,812.0502032,782.4024668,789.5773326,733.2114259,776.5176069,747.3735831,769.3472738,787.3611607,751.7835091,751.6028444,761.3022927,740.7949761,712.7675473,668.1472937,612.8060839,651.8160616,6.365794775,-1.125568793
Italy,397.2986537,398.3280358,397.6618927,392.5896191,387.8454194,410.4969653,408.2036393,412.0138721,422.9968056,428.257627,431.8980816,429.60511,438.3901706,453.662477,460.9543151,462.9004993,460.6893944,450.9927638,439.9971292,393.4057135,401.9760135,393.4670657,374.8676032,343.6860782,328.0886404,335.7273433,332.6681385,329.1492387,323.6118496,315.1598008,281.1686402,305.4568294,8.638299472,-1.635905512
Netherlands,165.5253549,172.2231201,170.374749,174.5232687,175.5211598,177.9324653,187.1799145,181.8282119,182.1577017,177.0278095,178.0509274,182.7643818,184.7123938,187.7969375,189.7128371,186.5418208,182.5623963,182.676564,182.3630487,177.1766696,189.7676497,177.5533161,175.6924574,173.938457,167.1156226,175.3497309,176.4002543,173.8627887,168.4226213,162.243447,145.5380567,147.4027003,1.281206864,-0.895496425
